Academic Year;ID Student;SBCoER Effectiveness;Exercise1 Effectiveness;Exercise2 Effectiveness;Exercise3 Effectiveness;Exercise4 Effectiveness;SBCoER Effectiveness Increase;Exercise1 Effectiveness Increase;Exercise 2 Effectiveness Increase;Exercise3 Effectiveness Increase;Exercise4 Effectiveness Increase;SBCoER Participation;Exercise1 Participation;Exercise2 Participation;Exercise3 Participation;Exercise4 Participation;SBCoER Dropout;Exercise1 Dropout;Exercise2 Dropout;Exercise3 Dropout;Exercise4 Dropout;SBCoER Active Time;Exercise1 Active Time;Exercise2 Active Time;Exercise3 Active Time;Exercise4 Active Time;SBCoER Number Executions;Exercise1 Number Executions;Exercise2 Number Executions;Exercise3 Number Executions;Exercise4 Number Executions
2021-2022;21-22Student048;84;100;100;53;73;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;8;3;2;1;2;52;29;14;1;8
2021-2022;21-22Student049;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;3;1;3;2;100;14;20;44;22
2021-2022;21-22Student050;58;100;100;0;0;0;1;1;;;0;1;1;;;1;0;0;1;;9;1;3;4;1;89;8;51;29;1
2021-2022;21-22Student051;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;2;3;2;3;93;16;26;3;48
2021-2022;21-22Student052;94;94;100;100;73;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;8;2;2;2;2;15;3;2;2;8
2021-2022;21-22Student053;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;5;1;1;1;2;125;26;27;17;55
2021-2022;21-22Student054;90;88;100;100;64;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;8;2;2;2;2;56;18;8;21;9
2021-2022;21-22Student055;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;2;2;3;3;173;9;27;86;51
2021-2022;21-22Student056;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;3;4;4;2;153;8;70;58;17
2021-2022;21-22Student057;71;100;45;60;91;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;8;2;2;2;2;47;12;4;22;9
2021-2022;21-22Student058;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;3;3;3;2;107;16;68;20;3
2021-2022;21-22Student059;56;75;80;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student060;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;8;2;2;2;2;27;2;13;9;3
2021-2022;21-22Student061;97;100;100;93;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;2;2;3;2;19;3;6;7;3
2021-2022;21-22Student062;98;100;95;100;100;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;11;2;3;2;4;250;24;43;106;77
2021-2022;21-22Student063;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;2;2;2;3;43;3;13;10;17
2021-2022;21-22Student064;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;8;1;2;2;3;124;10;3;70;41
2021-2022;21-22Student065;90;100;100;60;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;2;2;2;3;65;11;21;2;31
2021-2022;21-22Student066;77;100;65;80;64;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;9;2;3;2;2;38;8;12;13;5
2021-2022;21-22Student067;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;2;2;2;4;86;2;18;29;37
2021-2022;21-22Student068;77;100;100;53;36;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;6;2;2;1;1;6;2;2;1;1
2021-2022;21-22Student069;97;100;100;93;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;6;1;1;2;2;47;11;14;8;14
2021-2022;21-22Student070;94;100;95;80;100;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;4;1;1;1;1;31;25;4;1;1
2021-2022;21-22Student071;94;100;90;100;82;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;8;2;2;2;2;38;3;24;4;7
2021-2022;21-22Student072;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;2;3;2;2;12;2;5;2;3
2021-2022;21-22Student073;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;3;2;3;3;165;18;83;38;26
2021-2022;21-22Student074;100;100;100;100;100;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;9;2;2;2;3;10;2;2;3;3
2021-2022;21-22Student075;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;2;2;3;2;153;5;21;75;52
2021-2022;21-22Student076;98;100;100;100;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;3;2;3;2;107;21;32;50;4
2021-2022;21-22Student077;92;100;100;100;55;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;8;3;2;2;1;30;6;19;4;1
